"MPQ120t.Code.or.Value","MPQ120t.Value.Description","MPQ120t.Count","MPQ120t.Cumulative","MPQ120t.Skip.to.Item"
"29","Mid-leg - left",183,183,NA
".","Missing",4697,4880,NA
