"DRD370N.Code.or.Value","DRD370N.Value.Description","DRD370N.Count","DRD370N.Cumulative","DRD370N.Skip.to.Item"
"1","Yes",255,255,""
"2","No",5034,5289,"DRD370O"
".","Missing",4049,9338,""
