"LBDP3.Code.or.Value","LBDP3.Value.Description","LBDP3.Count","LBDP3.Cumulative","LBDP3.Skip.to.Item"
"4 to 83","Range of Values",1630,1630,NA
".","Missing",262,1892,NA
