"URDUSBLC.Code.or.Value","URDUSBLC.Value.Description","URDUSBLC.Count","URDUSBLC.Cumulative","URDUSBLC.Skip.to.Item"
"0","At or above the detection limit",2530,2530,NA
"1","Below lower detection limit",531,3061,NA
".","Missing",218,3279,NA
