"DID330.Code.or.Value","DID330.Value.Description","DID330.Count","DID330.Cumulative","DID330.Skip.to.Item"
"25 to 207","Range of Values",51,51,NA
"6666","Provider did not specify goal",144,195,NA
"7777","Refused",0,195,NA
"9999","Don't know",229,424,NA
".","Missing",9398,9822,NA
