"ACD010A.Code.or.Value","ACD010A.Value.Description","ACD010A.Count","ACD010A.Cumulative","ACD010A.Skip.to.Item"
"1","English",5164,5164,NA
"77","Refused",6,5170,NA
"99","Don't know",0,5170,NA
".","Missing",2097,7267,NA
