"DR1IP182.Code.or.Value","DR1IP182.Value.Description","DR1IP182.Count","DR1IP182.Cumulative","DR1IP182.Skip.to.Item"
"0 to 72.474","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
