"DXXTRA.Code.or.Value","DXXTRA.Value.Description","DXXTRA.Count","DXXTRA.Cumulative","DXXTRA.Skip.to.Item"
"1.48 to 20.52","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
