"DXXTATM.Code.or.Value","DXXTATM.Value.Description","DXXTATM.Count","DXXTATM.Cumulative","DXXTATM.Skip.to.Item"
"209.53 to 5929.55","Range of Values",5095,5095,NA
".","Missing",685,5780,NA
