"DXXGPFAT.Code.or.Value","DXXGPFAT.Value.Description","DXXGPFAT.Count","DXXGPFAT.Cumulative","DXXGPFAT.Skip.to.Item"
"12.3 to 56.7","Range of Values",4696,4696,NA
".","Missing",996,5692,NA
