"URDBP3LC.Code.or.Value","URDBP3LC.Value.Description","URDBP3LC.Count","URDBP3LC.Cumulative","URDBP3LC.Skip.to.Item"
"0","At or above the detection limit",2439,2439,NA
"1","Below lower detection limit",50,2489,NA
".","Missing",105,2594,NA
