"DXXOFBMD.Code.or.Value","DXXOFBMD.Value.Description","DXXOFBMD.Count","DXXOFBMD.Cumulative","DXXOFBMD.Skip.to.Item"
"0.419 to 1.579","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
