"URXMX6.Code.or.Value","URXMX6.Value.Description","URXMX6.Count","URXMX6.Cumulative","URXMX6.Skip.to.Item"
"0.003 to 512","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
