"DS1ANCNT.Code.or.Value","DS1ANCNT.Value.Description","DS1ANCNT.Count","DS1ANCNT.Cumulative","DS1ANCNT.Skip.to.Item"
"0 to 2","Range of Values",8654,8654,NA
".","Missing",1159,9813,NA
