"DR2TCHOL.Code.or.Value","DR2TCHOL.Value.Description","DR2TCHOL.Count","DR2TCHOL.Cumulative","DR2TCHOL.Skip.to.Item"
"0 to 2666","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
