"DS2IMAGN.Code.or.Value","DS2IMAGN.Value.Description","DS2IMAGN.Count","DS2IMAGN.Cumulative","DS2IMAGN.Skip.to.Item"
"0 to 2000","Range of Values",1661,1661,NA
".","Missing",3987,5648,NA
