"BAQ090.Code.or.Value","BAQ090.Value.Description","BAQ090.Count","BAQ090.Cumulative","BAQ090.Skip.to.Item"
"1","Get better,",316,316,NA
"2","Get worse, or",10,326,NA
"3","Stay the same?",86,412,NA
"7","Refused",0,412,NA
"9","Don't know",3,415,NA
".","Missing",3071,3486,NA
