"OSQ020b.Code.or.Value","OSQ020b.Value.Description","OSQ020b.Count","OSQ020b.Cumulative","OSQ020b.Skip.to.Item"
"1 to 10","Range of Values",387,387,""
"7777","Refused",0,387,"OSQ010c"
"9999","Don't know",2,389,"OSQ010c"
".","Missing",4491,4880,""
