"DLQ010.Code.or.Value","DLQ010.Value.Description","DLQ010.Count","DLQ010.Cumulative","DLQ010.Skip.to.Item"
"1","Yes",442,442,NA
"2","No",9325,9767,NA
"7","Refused",1,9768,NA
"9","Don't know",1,9769,NA
".","Missing",1,9770,NA
