"RHQ586U.Code.or.Value","RHQ586U.Value.Description","RHQ586U.Count","RHQ586U.Cumulative","RHQ586U.Skip.to.Item"
"1","Months",18,18,NA
"2","Years",26,44,NA
"7","Refused",0,44,NA
"9","Don't know",0,44,NA
".","Missing",3821,3865,NA
