"ALQ150.Code.or.Value","ALQ150.Value.Description","ALQ150.Count","ALQ150.Cumulative","ALQ150.Skip.to.Item"
"1","Yes",765,765,NA
"2","No",3665,4430,NA
"7","Refused",0,4430,NA
"9","Don't know",4,4434,NA
".","Missing",1273,5707,NA
