"RXQ510.Code.or.Value","RXQ510.Value.Description","RXQ510.Count","RXQ510.Cumulative","RXQ510.Skip.to.Item"
"1","Yes",1564,1564,""
"2","No",2308,3872,"RXQ520"
"7","Refused",1,3873,"RXQ520"
"9","Don't know",9,3882,"RXQ520"
".","Missing",0,3882,""
