"CVDS1DI.Code.or.Value","CVDS1DI.Value.Description","CVDS1DI.Count","CVDS1DI.Cumulative","CVDS1DI.Skip.to.Item"
"37 to 111","Range of Values",2826,2826,NA
".","Missing",2326,5152,NA
