"DS1IPOTA.Code.or.Value","DS1IPOTA.Value.Description","DS1IPOTA.Count","DS1IPOTA.Cumulative","DS1IPOTA.Skip.to.Item"
"0.1 to 1200","Range of Values",744,744,NA
".","Missing",4950,5694,NA
