"LBC167LA.Code.or.Value","LBC167LA.Value.Description","LBC167LA.Count","LBC167LA.Cumulative","LBC167LA.Skip.to.Item"
"0.1 to 7.2","Range of Values",264,264,NA
".","Missing",0,264,NA
