"RXDDAYS.Code.or.Value","RXDDAYS.Value.Description","RXDDAYS.Count","RXDDAYS.Cumulative","RXDDAYS.Skip.to.Item"
"1 to 25550","Range of Values",13740,13740,NA
"77777","Refused",0,13740,NA
"99999","Don't know",278,14018,NA
".","Missing",6176,20194,NA
