"DR2TP225.Code.or.Value","DR2TP225.Value.Description","DR2TP225.Count","DR2TP225.Cumulative","DR2TP225.Skip.to.Item"
"0 to 2.524","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
