"RFXT141.Code.or.Value","RFXT141.Value.Description","RFXT141.Count","RFXT141.Cumulative","RFXT141.Skip.to.Item"
"1229 to 1238","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
