"DS1MTCH.Code.or.Value","DS1MTCH.Value.Description","DS1MTCH.Count","DS1MTCH.Cumulative","DS1MTCH.Skip.to.Item"
"1","Exact or near exact match",2503,2503,NA
"2","Probable match",301,2804,NA
"3","Generic match",1435,4239,NA
"4","Reasonable match",757,4996,NA
"5","Default match",845,5841,NA
"6","No match",82,5923,NA
"7","Refused",0,5923,NA
"9","Don't know",35,5958,NA
".","Missing",0,5958,NA
