"LBXPFDO.Code.or.Value","LBXPFDO.Value.Description","LBXPFDO.Count","LBXPFDO.Cumulative","LBXPFDO.Skip.to.Item"
"0.07 to 2.8","Range of Values",2233,2233,NA
".","Missing",199,2432,NA
