"CIQP13J.Code.or.Value","CIQP13J.Value.Description","CIQP13J.Count","CIQP13J.Cumulative","CIQP13J.Skip.to.Item"
"1","Yes",30,30,NA
"2","No",67,97,NA
"7","Refused",0,97,NA
"9","Don't know",2,99,NA
".","Missing",679,778,NA
