"URDDEALC.Code.or.Value","URDDEALC.Value.Description","URDDEALC.Count","URDDEALC.Cumulative","URDDEALC.Skip.to.Item"
"0","At or above detection limit",2530,2530,NA
"1","Below lower detection limit",205,2735,NA
".","Missing",96,2831,NA
