"BPAARM.Code.or.Value","BPAARM.Value.Description","BPAARM.Count","BPAARM.Cumulative","BPAARM.Skip.to.Item"
"1","Right",7361,7361,NA
"2","Left",36,7397,NA
"8","Could not obtain",1,7398,NA
".","Missing",2146,9544,NA
