"DS1IMAGN.Code.or.Value","DS1IMAGN.Value.Description","DS1IMAGN.Count","DS1IMAGN.Cumulative","DS1IMAGN.Skip.to.Item"
"0.2 to 1200","Range of Values",1013,1013,NA
".","Missing",4945,5958,NA
