"URXUBE.Code.or.Value","URXUBE.Value.Description","URXUBE.Count","URXUBE.Cumulative","URXUBE.Skip.to.Item"
"0.09 to 0.3","Range of Values",2465,2465,NA
".","Missing",82,2547,NA
