"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","At or above the detection limit",2052,2052,NA
"1","Below lower detection limit",220,2272,NA
".","Missing",77,2349,NA
