"AUXR4KL.Code.or.Value","AUXR4KL.Value.Description","AUXR4KL.Count","AUXR4KL.Cumulative","AUXR4KL.Skip.to.Item"
"20 to 115","Range of Values",12,12,NA
"666","No response",1,13,NA
"888","Could not obtain",0,13,NA
".","Missing",3021,3034,NA
