"DRXIM181.Code.or.Value","DRXIM181.Value.Description","DRXIM181.Count","DRXIM181.Cumulative","DRXIM181.Skip.to.Item"
"0 to 92.04","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
