"URDNALLC.Code.or.Value","URDNALLC.Value.Description","URDNALLC.Count","URDNALLC.Cumulative","URDNALLC.Skip.to.Item"
"0","At or above the detection limit",3998,3998,NA
"1","Below lower detection limit",2945,6943,NA
".","Missing",1769,8712,NA
