"CIQP21O.Code.or.Value","CIQP21O.Value.Description","CIQP21O.Count","CIQP21O.Cumulative","CIQP21O.Skip.to.Item"
"15","Fear: Getting an injection",0,0,NA
".","Missing",928,928,NA
