"DXXTSA.Code.or.Value","DXXTSA.Value.Description","DXXTSA.Count","DXXTSA.Cumulative","DXXTSA.Skip.to.Item"
"47.54 to 262","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
