"LBCBR8LA.Code.or.Value","LBCBR8LA.Value.Description","LBCBR8LA.Count","LBCBR8LA.Cumulative","LBCBR8LA.Skip.to.Item"
"0.1202 to 3.025","Range of Values",265,265,NA
".","Missing",0,265,NA
