"DBD411.Code.or.Value","DBD411.Value.Description","DBD411.Count","DBD411.Cumulative","DBD411.Skip.to.Item"
"1 to 5","Range of Values",1127,1127,""
"0","None",1324,2451,"DBQ422"
"7777","Refused",1,2452,"DBQ422"
"9999","Don't know",11,2463,"DBQ422"
".","Missing",7659,10122,""
