"LBXPFOA.Code.or.Value","LBXPFOA.Value.Description","LBXPFOA.Count","LBXPFOA.Cumulative","LBXPFOA.Skip.to.Item"
"0.07 to 24","Range of Values",2233,2233,NA
".","Missing",199,2432,NA
