"PFD069R.Code.or.Value","PFD069R.Value.Description","PFD069R.Count","PFD069R.Cumulative","PFD069R.Skip.to.Item"
"1 to 27375","Range of Values",375,375,NA
"66666","Since birth",17,392,NA
"77777","Refused",0,392,NA
"99999","Don't know",9,401,NA
".","Missing",9244,9645,NA
