"OSQ090a.Code.or.Value","OSQ090a.Value.Description","OSQ090a.Count","OSQ090a.Cumulative","OSQ090a.Skip.to.Item"
"1","Yes",883,883,"OSQ120a"
"2","No",378,1261,""
"7","Refused",0,1261,"OSQ120a"
"9","Don't know",3,1264,"OSQ120a"
".","Missing",4671,5935,""
