"WHD140.Code.or.Value","WHD140.Value.Description","WHD140.Count","WHD140.Cumulative","WHD140.Skip.to.Item"
"75 to 550","Range of Values",5744,5744,NA
"7777","Refused",17,5761,NA
"9999","Don't know",83,5844,NA
".","Missing",331,6175,NA
