"OCQ340.Code.or.Value","OCQ340.Value.Description","OCQ340.Count","OCQ340.Cumulative","OCQ340.Skip.to.Item"
"1","Yes",1064,1064,""
"2","No",2452,3516,"OCD390G"
"7","Refused",0,3516,"OCD390G"
"9","Don't know",0,3516,"OCD390G"
".","Missing",3118,6634,""
