"OSQ010b.Code.or.Value","OSQ010b.Value.Description","OSQ010b.Count","OSQ010b.Cumulative","OSQ010b.Skip.to.Item"
"1","Yes",445,445,"OSQ020b"
"2","No",4592,5037,""
"7","Refused",1,5038,""
"9","Don't know",2,5040,""
".","Missing",1,5041,""
