"LBXPFBS.Code.or.Value","LBXPFBS.Value.Description","LBXPFBS.Count","LBXPFBS.Cumulative","LBXPFBS.Skip.to.Item"
"0.07 to 0.4","Range of Values",2100,2100,NA
".","Missing",194,2294,NA
