"FFQ0072A.Code.or.Value","FFQ0072A.Value.Description","FFQ0072A.Count","FFQ0072A.Cumulative","FFQ0072A.Skip.to.Item"
1,"Almost never or never",2901,2901,NA
2,"About 1/4 of the time",576,3477,NA
3,"About 1/2 of the time",469,3946,NA
4,"About 3/4 of the time",184,4130,NA
5,"Almost always or always",348,4478,NA
88,"Blank",1992,6470,NA
99,"Error",2,6472,NA
