"DTQ110U.Code.or.Value","DTQ110U.Value.Description","DTQ110U.Count","DTQ110U.Cumulative","DTQ110U.Skip.to.Item"
"1","Day",160,160,NA
"2","Week",2261,2421,NA
"3","Month",3768,6189,NA
"7","Refused",3,6192,NA
"9","Don't know",9,6201,NA
".","Missing",2340,8541,NA
