"DR1TSELE.Code.or.Value","DR1TSELE.Value.Description","DR1TSELE.Count","DR1TSELE.Cumulative","DR1TSELE.Skip.to.Item"
"0 to 758.2","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
