"LBXMCVSI.Code.or.Value","LBXMCVSI.Value.Description","LBXMCVSI.Count","LBXMCVSI.Cumulative","LBXMCVSI.Skip.to.Item"
"55.9 to 125.3","Range of Values",8267,8267,NA
".","Missing",1040,9307,NA
