"DR1TNUMF.Code.or.Value","DR1TNUMF.Value.Description","DR1TNUMF.Count","DR1TNUMF.Cumulative","DR1TNUMF.Skip.to.Item"
"1 to 49","Range of Values",8661,8661,NA
".","Missing",1152,9813,NA
