"DS2MTCH.Code.or.Value","DS2MTCH.Value.Description","DS2MTCH.Count","DS2MTCH.Cumulative","DS2MTCH.Skip.to.Item"
"1","Exact or near exact match",2637,2637,NA
"2","Probable match",210,2847,NA
"3","Generic match",1345,4192,NA
"4","Reasonable match",533,4725,NA
"5","Default match",856,5581,NA
"6","No match",65,5646,NA
"7","Refused",0,5646,NA
"9","Don't know",2,5648,NA
".","Missing",0,5648,NA
