"WHQ510D.Code.or.Value","WHQ510D.Value.Description","WHQ510D.Count","WHQ510D.Cumulative","WHQ510D.Skip.to.Item"
"13","I get teased about my weight",55,55,NA
".","Missing",1774,1829,NA
