"URDP02LC.Code.or.Value","URDP02LC.Value.Description","URDP02LC.Count","URDP02LC.Cumulative","URDP02LC.Skip.to.Item"
"0","At or above the detection limit",1911,1911,NA
"1","below lower detection limit",0,1911,NA
".","Missing",736,2647,NA
