"DS2TMFAT.Code.or.Value","DS2TMFAT.Value.Description","DS2TMFAT.Count","DS2TMFAT.Cumulative","DS2TMFAT.Skip.to.Item"
"0.1 to 6","Range of Values",91,91,NA
".","Missing",10162,10253,NA
