"DR1IM221.Code.or.Value","DR1IM221.Value.Description","DR1IM221.Count","DR1IM221.Cumulative","DR1IM221.Skip.to.Item"
"0 to 7.232","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
