"ACD010A.Code.or.Value","ACD010A.Value.Description","ACD010A.Count","ACD010A.Cumulative","ACD010A.Skip.to.Item"
"1","English",5447,5447,NA
"7","Refused",4,5451,NA
"9","Don't know",0,5451,NA
".","Missing",2447,7898,NA
