"DXXL4TBS.Code.or.Value","DXXL4TBS.Value.Description","DXXL4TBS.Count","DXXL4TBS.Cumulative","DXXL4TBS.Skip.to.Item"
"0.687 to 1.752","Range of Values",4362,4362,NA
".","Missing",3372,7734,NA
