"DXXWDBMC.Code.or.Value","DXXWDBMC.Value.Description","DXXWDBMC.Count","DXXWDBMC.Cumulative","DXXWDBMC.Skip.to.Item"
"0.18 to 1.81","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
