"LB2RBCSI.Code.or.Value","LB2RBCSI.Value.Description","LB2RBCSI.Count","LB2RBCSI.Cumulative","LB2RBCSI.Skip.to.Item"
"3.06 to 6.51","Range of Values",551,551,NA
".","Missing",6,557,NA
